"","IDmuni","muni","Nombre_SP","meanN"
"1","09020","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09020","Pinus pinaster",451.945403666667
"2","09021","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09021","Pinus pinaster",31.831016
"3","09022","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09022","Pinus nigra",142.037064
"4","09037","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09037","Quercus pyrenaica",861.175493214286
"5","09038","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09038","Quercus ilex",387.2773555
"6","09039","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09039","Quercus pyrenaica",803.8038775
"7","09062","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09062","Quercus pyrenaica",363.86387475
"8","09066","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09066","Quercus faginea",356.365902
"9","09067","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09067","Pinus sylvestris",608.055992636364
"10","09070","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09070","Quercus pyrenaica",668.451326
"11","09078","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09078","Mezcla de árboles de ribera",132.417024
"12","09084","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09084","Quercus pyrenaica",1578.95984
"13","09110","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09110","Quercus ilex",305.678800142857
"14","09112","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09112","Pinus nigra",1081.3703325
"15","09129","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09129","Pinus sylvestris",1033.44697045
"16","09144","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09144","Pinus sylvestris",757.648905
"17","09154","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09154","Quercus pyrenaica",48.005886
"18","09163","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09163","Pinus nigra",449.170997
"19","09169","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09169","Mezcla de árboles de ribera",569.4215
"20","09173","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09173","Pinus sylvestris",435.495449066667
"21","09174","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09174","Pinus pinaster",516.3344394375
"22","09183","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09183","Pinus sylvestris",1273.24062
"23","09184","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09184","Mezcla de árboles de ribera",461.337518
"24","09191","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09191","Quercus ilex",1941.691946
"25","09200","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09200","Juniperus thurifera",354.4560415
"26","09201","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09201","Pinus sylvestris",394.078077285714
"27","09223","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09223","Quercus pyrenaica",474.3882335
"28","09225","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09225","Quercus pyrenaica",241.774246
"29","09226","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09226","Fagus sylvatica",367.6835966
"30","09232","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09232","Pinus sylvestris",478.86226015625
"31","09246","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09246","Pinus sylvestris",504.2202622
"32","09266","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09266","Quercus petraea",1082.254528
"33","09268","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09268","Pinus pinaster",779.748723714286
"34","09269","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09269","Quercus pyrenaica",1030.71186
"35","09274","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn/municipality/09274","Pinus sylvestris",524.309877125
