INSPIREID,COUNTRY,NATLEV,NATLEVNAME,NATCODE,NAMEUNIT,CODNUT1,CODNUT2,CODNUT3,IDmuni
ES.IGN.BDDAE.34100303103,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34100303103",Penàguila,ES5,ES52,ES521,"03103"
ES.IGN.BDDAE.34101212027,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34101212027",Benicarló,ES5,ES52,ES522,"12027"
ES.IGN.BDDAE.34101212028,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34101212028",Benicàssim/Benicasim,ES5,ES52,ES522,"12028"
ES.IGN.BDDAE.34101212038,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34101212038",Castellfort,ES5,ES52,ES522,"12038"
ES.IGN.BDDAE.34101212041,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34101212041",Castillo de Villamalefa,ES5,ES52,ES522,"12041"
ES.IGN.BDDAE.34101212042,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34101212042",Catí,ES5,ES52,ES522,"12042"
ES.IGN.BDDAE.34101212071,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34101212071",Jérica,ES5,ES52,ES522,"12071"
ES.IGN.BDDAE.34101212082,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34101212082",Nules,ES5,ES52,ES522,"12082"
ES.IGN.BDDAE.34101212093,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34101212093",la Pobla de Benifassà,ES5,ES52,ES522,"12093"
ES.IGN.BDDAE.34101212096,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34101212096",Rossell,ES5,ES52,ES522,"12096"
ES.IGN.BDDAE.34101212111,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34101212111",Tírig,ES5,ES52,ES522,"12111"
ES.IGN.BDDAE.34101212115,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34101212115",El Toro,ES5,ES52,ES522,"12115"
ES.IGN.BDDAE.34101212117,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34101212117",Torreblanca,ES5,ES52,ES522,"12117"
ES.IGN.BDDAE.34101212122,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34101212122",les Useres/Useras,ES5,ES52,ES522,"12122"
ES.IGN.BDDAE.34101212902,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34101212902",Sant Joan de Moró,ES5,ES52,ES522,"12902"
ES.IGN.BDDAE.34104646001,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34104646001",Ademuz,ES5,ES52,ES523,"46001"
ES.IGN.BDDAE.34104646013,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34104646013",Alboraia/Alboraya,ES5,ES52,ES523,"46013"
ES.IGN.BDDAE.34104646022,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34104646022",Alfafar,ES5,ES52,ES523,"46022"
ES.IGN.BDDAE.34104646071,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34104646071",Bicorp,ES5,ES52,ES523,"46071"
ES.IGN.BDDAE.34104646072,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34104646072",Bocairent,ES5,ES52,ES523,"46072"
ES.IGN.BDDAE.34104646081,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34104646081",Canals,ES5,ES52,ES523,"46081"
ES.IGN.BDDAE.34104646092,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34104646092",Castielfabib,ES5,ES52,ES523,"46092"
ES.IGN.BDDAE.34104646118,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34104646118",Enguera,ES5,ES52,ES523,"46118"
ES.IGN.BDDAE.34104646132,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34104646132",el Genovés,ES5,ES52,ES523,"46132"
ES.IGN.BDDAE.34104646148,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34104646148",Loriguilla,ES5,ES52,ES523,"46148"
ES.IGN.BDDAE.34104646149,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34104646149",Losa del Obispo,ES5,ES52,ES523,"46149"
ES.IGN.BDDAE.34104646154,ES,https://inspire.ec.europa.eu/codelist/AdministrativeHierarchyLevel/4thOrder,Municipio,"34104646154",Llanera de Ranes,ES5,ES52,ES523,"46154"
